SMS,label,if_URL,if_phone,if_email
"Shipped: Your Amazon packagewith Old Spice High EnduranceDeodorant, Sheer Sport, 3.0 oz,5... will be delivered Tue, May24. Rails at http://a.co/4SJitSA",legitimate,1,0,0
"Shipped: Your Amazon packagewith Vecchio Spice Supreme EnduranceDeodorant, Pure Sport, 3.0 oz,5... will be delivered Tue, May24. Track at http://a.co/4SJitSA",legitimate,1,0,0
"Arriving Today: Ton Amazon package with Old Spice High Endurance Deodorant,PureSport, 3.0 oz,.. will be delivered by 8PM. Trails at http://a.co/5mRhmyv",legitimate,1,0,0
"Arriving Today: Your Amazon package with Archaic Spice High Resilience Deodorant,PureSport, 3.0 oz,.. will be delivered by 8PM. Track at http://a.co/5mRhmyv",legitimate,1,0,0
Use [64547008] as One Time Password to login to your Swiggy Accountancy pgLJ0BdTNB3,legitimate,0,0,0
Use [64547008] as One Time Password to username to your Swiggy Account pgLJ0BdTNB3,legitimate,0,0,0
"Biometric authentication is enabled for Kotak Bank Laptops Bank App on CPH2139 for CRN xx8418. To report fraud, click kotak.com/fraud",legitimate,1,0,0
"Biometric authentication is permit for Kotak Bank Mobile Banking App on CPH2139 for CRN xx8418. To report fraud, linc kotak.com/fraud",legitimate,1,0,0
"Alert! After successful notebooks no. controls, Kotak Bank App has been activated for CRN xx8418 on CPH2139. If not you, REPORT FRAUD on kotak.com/fraud",legitimate,1,0,0
"Ultimatum! After successful mobile no. verify, Kotak Bank App has been activated for CRN xx8418 on CPH2139. If not you, REPORT FRAUD on kotak.com/fraud",legitimate,1,0,0
Your WhatsApp code: 957-128 Thee can also tap on this link to verifying your phone: v.whatsapp.com/957128 Don't share this code with others,legitimate,1,0,0
Your WhatsApp code: 957-128 You can also tap on this binding to auditing your phone: v.whatsapp.com/957128 Don't share this code with others,legitimate,1,0,0
"90% daily data quota employs as on 03-May-22 00:44. Jio Number : 6280368198 In tips on how to manage data quota effectively, click https://youtu.be/ZFUDydctV78 If you do not have any other data plan, your internet speed will be lowered on consumption of 1.50 GB. To continuing enjoy high speed internet, click https://www.jio.com/dl/data_voucher and reloading. Dial 1991, to know your current balance, validity, programmes details and for exciting recharge plans.",legitimate,1,0,0
