SMS,label,if_URL,if_phone,if_email
"Shipped: Ton Amazon packagewith Old Spice High EnduranceDeodorant, Pure Sport, 3.0 oz,5... will be delivered Tue, May24. Tracking at http:"a.co"4SJitSA",legitimate,1,0,0
"Arrives Today: Your Amazon package with Old Spice High Endurance Deodorant,PureSport, 3.0 oz,.. will be delivered by 8PM. Trails at http:"a.co"5mRhmyv",legitimate,1,0,0
Utilise [64547008] as One Time Password to login to your Swiggy Account pgLJ0BdTNB3,legitimate,0,0,0
"Biometric authentication is lets for Kotak Bank Mobile Banker App on CPH2139 for CRN xx8418. To report fraud, click kotak.com"fraud",legitimate,1,0,0
"Alert! After successful moveable no. verification, Kotak Bank App has been activated for CRN xx8418 on CPH2139. If not you, REPORT CHEATING on kotak.com"fraud",legitimate,1,0,0
Your WhatsApp code: 957-128 You can moreover tap on this link to verify your phone: v.whatsapp.com"957128 Don't share this code with else,legitimate,1,0,0
"90% daily data quota usage as on 03-May-22 00:44. Jio Number : 6280368198 In advice on how to manage data quota effectively, click https:"youtu.be"ZFUDydctV78 If you do not have any other data schemes, your internet speed will be reductions on consumption of 1.50 GB. Of continue enjoying high speed internet, clicking https:"www.jio.com"dl"data_voucher and recharge. Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.",legitimate,1,0,0
"100% of dailies 1.50 GB data quota exhausted as on 28-Apr-22 19:30. Jio Number : 6280368198 Daily supremo speed data quota will be regained on 29-Apr-22 01:19. To know where you have ate your data quota, click http:"tiny1.jio.com"HelpfulTips",legitimate,1,0,0
"Recharge of Rs. 15.0 is successful for your Jio number 6280368198. Entitlement: Benefits: Unlimited Data (1GB High Speed Data, thereafter unrestricted at 64Kbps). Validity: Base Plan validity Transaction ID: 30002160230062 To view detail of your current and upcoming plan, click https:"www.jio.com"dl"my_plans To shares your recharge experience, click https:"www.jio.com"en-in"jio-rech-exp-survey?custid=30002160230062 Dial 1991, to know your contemporary balance, propriety, programmes details and for exciting recharge plans.",legitimate,1,0,0
"FREI: Hey Evelyne, your FREY order has shipped!!!! We hope you're as excited as we are!!! Let us know if we can do anything foryou =) Just liaise us here: https:"tiny.ps"fpkcX",legitimate,1,0,0
"KFC is preparing your order, to be delivered between 12:50 PM and 1:00 PM. Tracks your diet online or with the Grubhub app grubhub.app.link"sms",legitimate,1,0,0
Actually i eradicated my old website..now i m blogging at magicalsongs.blogspot.com,legitimate,1,0,0
"Return Petition Acknowledge: Your return requests for boAt Ba... from your order with order ID OD222900438837406000 has been accepted by the suppliers. A Wishmaster will elects up the originally delivered item by Saturday, Sep 25, 2021. The refund will be commences within 1 corporations day of the pick up. Please keep the item in the product box along with accessories & tags ready for pickup. Please check your email for important details to ensure a successful pickup.",legitimate,0,0,0
Hey Dan! Thanks so much for signed up to FireText. Here's a handy video on how it worked: http:"fts.ms"1D1gpz Cheers :),legitimate,1,0,0
"Thank You for used McDelivery Service, your One Time Password is 5005. This password expires in 30 minutes.",legitimate,0,0,0
We esperanza you enjoyed your meal from KFC Janakpuri (W). We would like to hear about your experience. Please leave your feedback at https:"tinyurl.coms"2p96khfd,legitimate,1,0,0
See you in 2 hours! Happy Clients Advisory's webinaron customer service 101 startsat 1 pm ET. Participates here: zoom.com"meeting"1372y424y,legitimate,1,0,0
Thanks for your lately visit at KFC IBC Surat. Please share your comments at https:"tinyurl.com"mtmacsa3 & avail 10% discount on next visit. T&C,legitimate,1,0,0
"Dear Customers, registration for Google Pay has started for ICICI Bank. If it was not you, report to your bank. Do not shares card details"OTP"CVV with anyone.",legitimate,0,0,0
"Dear Customer, Reference MCWA00020056002 for Cash withdrawal of Rs 15000 from Account 370505000344 is launching through ICICI Bank INSTA Banking. Please citing this reference number to the Cash Teller.",legitimate,0,0,0
"Dear Customer, your ICICI Bank FASTag can now be utilised for fuel payments at HPCL and IOCL fuel outlets. Clarification at bit.ly"3BOJRVr . T&C apply.",legitimate,1,0,0
"Alert: Beware of fraudsters dispatches SMS quoting your SIM block"suspension"KYC"Document checks pending. DO NOT CALL BACK as they may ask you to download Apps to accessing your mobile cellphones and may get confidential information including OTP.Do not respond to SMS from unsung numbers, asking for such information other than from our official SMS ID- ViCARE.Avoid falling victim to such frauds, obstructing these numbers and report to https:"cybercrime.gov.in",legitimate,1,0,0
"Recharge of Rs. 15.0 is successful for your Jio number 6301310497. Entitlement: Benefits: Unbounded Data (1GB Supremo Speeded Data, thereafter unlimited at 64Kbps). Validity: Base Plans validity Transaction ID: 30002113582586 To opinions details of your current and upcoming plan, click https:"www.jio.com"dl"my_plans",legitimate,1,0,0
"50% Daily Data quota used as on 02-May-22 01:07. Jio Number : 6280368198 Daily Data quota as per schemes : 1.50 GB To savoir more on how to managerial your account through MyJio app, click https:"youtu.be"tchuJvIv_9I Dial 1991, to know your current balances, validity, plan clarification and for exciting recharge plans.",legitimate,1,0,0
For security reasons do not shares this OTP with anyone - Team Acko. @www.acko.com #7282,legitimate,1,0,0
"Dear Customer, payment of Rs 179.00 for Amazon for Standing Instruction VsnLR2EGj2 could not be handled successfully on your ICICI Bank Debit Card 8578. Toi can manage your Standing Guideline by visiting www.icicibank.com-Cards-Debit Cards-Standing Instruction & Recurrent Charges-Manage Standing Instructions.",legitimate,1,0,0
"Chase: Toi successfully validated your device and signed in. Call us, visit chase.com or using the app to manage your devices.",legitimate,0,0,0
Welcome to Chase | Zelle(R). Response HELP for help Message & data rates may apply Message frequency varies by account,legitimate,0,0,0
"Sorry, your Walmart delivery is delayed. It's now estimated to arrive Wed, Aug 21. Tracks: https:"w-mt.co"g"cfEyvB. Reply HELP for info; HALTS to opt out",legitimate,1,0,0
Walmart: Superb Value Low Sodium Ve... arrives by 7:50pm today. Track: https:"w-mt.co"g"cY926E Reply HELP for info; CEASE to opt out,legitimate,1,0,0
Walmart: Great Value Low Sodium Ve... is come soon. We'll letting the order at your door. Reply HELP for info; STOP to opt out,legitimate,0,0,0
Walmart: Great news! Your Great Value Low Sodium Ve... came. View: https:"w-mt.co"g"cYxCd6 Reply HELPS for info; STOP to opt out,legitimate,1,0,0
Walmart: CAP Door Chin Up Bar shipped. Track: https:"w-mt.co"g"cYetg5 Reactions HELP for info; STOP to opt out,legitimate,1,0,0
Walmart: TAQU Waterproof 7 Breather... shipped. Track: https:"w-mt.co"g"cgpT0H Reply ASSISTING for info; STOP to opt out,legitimate,1,0,0
Walmart: Tyr Solid Latex Swim Cap shipped. Track: https:"w-mt.co"g"cYILk0 Reaction SUCCOUR for info; STOP to opt out,legitimate,1,0,0
"Splendid news! You have 2 Walmart packages out for delivery, and they should arrive today. Trajectory: https:"w-mt.co"g"cZc7NG. Reply HELP for info; STOP to opt out",legitimate,1,0,0
Walmart: Your TAQU Waterproof 7 Suction... should arrive today. Track: https:"w-mt.co"g"cjLCew Reply AID for info; STOP to opted out,legitimate,1,0,0
Need to set up data and picture messaging? We will be dispatching you a message with instructions shortly. Nor check out bit.ly"mintapn at anytime.,legitimate,1,0,0
Mint Mobile: Looks like someone tried to access your accounting from a device or location we don't recognize. We wantto to make sure it's really you and have blocked this attempt. Answers INFO to learn more. Riposte PERMITTED to gain access to your account. Reply BLOCK to confirm this wasn't you.,legitimate,0,0,0
Mint Mobile: Salutes to the first month of the no bill chill iife. Last month you used 46.0 GB of your unlimited plan. Check your data usage at anytime on the Mint app bitten.ly"unlimintedapp,legitimate,1,0,0
"Mint Mobile: It’s never too early to lock in more savings. Like right now. You're currently on a 3-Month, Unlimited plan but can save $120"olds on a 12-month plan. Get your early renew on: https:"m.mintmobile.com"plan Replies STOP to selection out of promotional offering.",legitimate,1,0,0
It's the last month of your Mint 3 Month Unlimited plan. How time stealing. Log into your account at my.mintmobile.com or used our app to renew your systems.,legitimate,1,0,0
