SMS,line_numbers,count
"Alert! After successful mobile no. verification, Kotak Bank App has been activated for CRN xx8418 on CPH2139. If not you, REPORT FRAUD on kotak.com/fraud",6|279,2
Your WhatsApp code: 957-128 You can also tap on this link to verify your phone: v.whatsapp.com/957128 Don't share this code with others,7|161,2
"Return Request Accepted: Your return request for boAt Ba... from your order with order ID OD222900438837406000 has been accepted by the seller. A Wishmaster will pick up the originally delivered item by Saturday, Sep 25, 2021. The refund will be initiated within 1 business day of the pick up. Please keep the item in the product box along with accessories & tags ready for pickup. Please check your email for important details to ensure a successful pickup.",14|344,2
"Thank You for using McDelivery Service, your One Time Password is 5005. This password expires in 30 minutes.",16|499,2
Walmart: Great Value Low Sodium Ve... arrives by 7:50pm today. Track: https://w-mt.co/g/cY926E Reply HELP for info; STOP to opt out,31|527,2
Walmart: Great news! Your Great Value Low Sodium Ve... arrived. View: https://w-mt.co/g/cYxCd6 Reply HELP for info; STOP to opt out,33|537,2
Walmart: TAQU Waterproof 7 Suction... shipped. Track: https://w-mt.co/g/cgpT0H Reply HELP for info; STOP to opt out,35|123,2
Walmart: Tyr Solid Latex Swim Cap shipped. Track: https://w-mt.co/g/cYILk0 Reply HELP for info; STOP to opt out,36|574,2
"Great news! You have 2 Walmart packages out for delivery, and they should arrive today. Track: https://w-mt.co/g/cZc7NG. Reply HELP for info; STOP to opt out",37|52,2
"Mint Mobile: It’s never too early to lock in more savings. Like right now. You're currently on a 3-Month, Unlimited plan but can save $120/yr on a 12-month plan. Get your early renew on: https://m.mintmobile.com/plan Reply STOP to opt out of promotional offers.",42|588,2
It's the last month of your Mint 3 Month Unlimited plan. How time flies. Log into your account at my.mintmobile.com or use our app to renew your plan.,43|459,2
Chase | Zelle(R): XIYU WANG sent you $20.00 & it's ready now. Reply STOP to cancel these texts.,46|399,2
Â£164m EuroMillions draw tonight! Complete your registration with 20 Bets for only Â£2 - Ends 23:59 BST! lottogo.co/emaq 18+ T&C Optout: https://tx.vc/o/b1a7b,602|710|997,3
Your package arrives at the Cyprus Post Office tomorrow.Confirm delivery: https://51.fi/aJzP Cyprus Post Office .,604|641|788,3
"Alex See How To Get Bigger Profits From 1 Property Deal, From The Man Who Built 200 Houses! https://tx.vc/r/33RUt Optout https://tx.vc/o/8d122",608|986,2
Last chance for Â£169m EuroMillions Rollover! lottogo.co/emaq + Register by 7pm & get 20 tickets for Â£1! 18+TC Optout: https://tx.vc/o/b1a7b,612|1133,2
Ready? Join Bruce Pokies with a 450% up to Â£2000! jump in https://tx.vc/r/3ngOV/1J44zy/7SpBXGk Optout: https://tx.vc/o/b5618,614|865,2
Slt mon chou je suis infirmiere quand jai du temps libre jaime enlever ma blouse je connais tres bien le corps humain Alex. RDV ici https://rdv0.co/yB7P8p,620|1007,2
"Sherise, Playerz has a Bonus waiting to be claimed of 25% up to CÂ¤50 Bonus!. Use Bonus code PLBZ2. https://tx.vc/r/2zGTP 18+ T&Cs apply: https://tx.vc/r/2zFxz Opt-out: https://tx.vc/r/2zFwY",624|835|1176,3
"tom, youâre ready to Spinit! Grab your Welcome Offer from the Cashier for a 100% up to ?00 + 200 Free Spins. Howâd you spin that Bonus? https://tx.vc/r/1JumW 18+ T&Cs apply Opt-out: https://tx.vc/r/19bhu",629|664,2
LACaixa Online : https://51.fi/loc16Â§laxaica,631|887,2
[emailÂ protected] / U-S-P-S ID 75275 / We could not find the correct info provided for your item: https://qi.lv/DyW,640|972,2
GOV: You are eligible for a discounted energy bill under the Energy Bills Support Scheme. You can apply here at: https://rebate.energy-uk-claim.com,643|982,2
æ¥ç ?æåº ??å¤©ä¸ å±ãæé¦çå§¬æ¬ ?ä¸æãå¤§ãç AAEAEAZ2DOFM https://lihi2.cc/jJ9PF,661|737,2
Bienvenido a Remmesa! Envia dinero a familiares y amigos alrededor del mundo con comisiones y tipos de cambio bajos! http://app.remmesa.com/,671|871,2
Your package arrives at the Cyprus Post Office tomorrow.Confirm delivery:https://51.fi/aJzP Cyprus Post Office,675|785,2
"Monday exclusive: Get 100 Free Spins - no deposit required https://tx.vc/r/3saME/ T&Cs Apply, 18 Plus. Play Responsibly. Unsubscribe https://tx.vc/r",680|814,2
"GXFTRJB See How To Get Bigger Profits From 1 Property Deal, From The Man Who Built 200 Houses! https://tx.vc/r/33RUt Optout https://tx.vc/o/8d122",685|1167,2
"William, exclusive offer from Casino Planet. Get a 25% up to Â£50 Bonus!. Use promo code CPBZ2U at the cashier. Deposit: https://tx.vc/r/1Qc6J 18",691|1065,2
"The Big JaCKP0T Up To P1,OOO,OOO! 24/7 Immediate C*sh In/Out. Sign up and P2,000 GeT P2,000 cLiCK https://go.ly/lqS1F",692|885,2
[US POSTAL] Your package is ready for delivery. Confirm your address to avoid returns: https://dik.si/postal,721|781,2
"Delivered: Hi Sk, your package with Nestle Lactogro... is successfully delivered. More info at Lybrate. http://lybr.at/2790a93b8 In case of any discrepancy in your order, mail us at [emailÂ protected] within 48 hrs mentioning your order code and registered mobile number.",727|883,2
We are waiting for you with 400% up to Â£2000 + 100 FS - Grab it NOW https://tx.vc/r/3xX3J/1MNzKm/7Sw9W5c Optout: https://tx.vc/o/e34f2,730|1131,2
pple.com/us/app/ring4/id594763296 android: https://play.google.com/store/apps/details?id=com.ring4.app,731|1017|1184|1199,4
"Ciao TEST, inviaci una copia del tuo documento per la convalida del conto gioco e potrai prelevare le tue vincite!https://tx.vc/r/mhL7/1GVKXa/1MxHa6S",739|875|1142,3
"Maciek, fly over til moroa med 150% Bonus opptil 1000 kr hos Sloty. Gj?r innskudd og bruk Bonuskoden PLAYNOW1! https://tx.vc/r/1JtmS 18+ Regler og vilk?r: https://tx.vc/r/Aupz Velge Bort: https://tx.vc/r/19ULL",740|1079,2
"France v Morocco: Your Free Bets are ready for tonight's game https://tx.vc/r/3wFFZ/ T&Cs Apply, 18 Plus. Play Responsibly Unsubscribe https://tx.vc/r",744|1162,2
"Don't miss this fantastic No-deposit offer... https://tx.vc/r/3knDP/ T&Cs Apply, 18 Plus. Play Responsibly. Unsubscribe At https://tx.vc/r/3kneC/",745|968,2
"Latest Free bet offers for Liverpool v Man City https://tx.vc/r/3mis4/ T&Cs Apply, 18 Plus. Play Responsibly Unsubscribe https://tx.vc/r/3mhYE/",749|974,2
"[emailÂ protected] / Notice / We did not find your address, please update it: http://fabrikaistanbul.com/",761|884,2
"We have on hold your Amazon account and all pending orders. We took this action because the billing information you provided did not match information on the file with the card problem, click and follow the instructions from the following link: https://vk.sv/Kthzt- Amazon Team",764|992,2
Puedes enviar dinero sin moverte del sofa ni esperar en lineas. Envia ahora con la app de Remmesa! http://app.remmesa.com/,775|1038,2
Last chance for Â£113m EuroMillions Rollover! lottogo.co/emaq Register by 7pm & get 20 tickets for Â£1! 18+TC Optout: Visit https://tx.vc/o/b1a7b,778|848|989,3
We sincerely invite you to join our WS exchange group to share and exchange B-T.C together Earn 1000-5000 per day https://lihi2.cc/rlEbq,779|860,2
[SMS1 missed] izar su cuenta. Tienes que activar la nueva sistema de seguridad web. Activa ahora : https://51.fi/aJ1Bi?SMS1Missed,792|1171,2
"A warm welcome for you - Claim these amazing offers. https://tx.vc/r/3kPyn/ T&Cs Apply, 18 Plus. Play Responsibly. Unsubscribe At https://tx.vc/r/3k",796|932,2
"A warm welcome for you - Claim these exclusive offers. https://tx.vc/r/3fG0S/ T&Cs Apply, 18 Plus. Play Responsibly. Unsubscribe At https://tx.vc/r/3fG02/",797|942,2
"Welcome to Mr Free Slots! Bonus & Free Spins Offers here > https://tx.vc/r/3v3t4/ T&Cs Apply, 18 Plus. Play Responsibly. Unsubscribe https://tx.vc/r/",799|1052,2
N.E.T.F.L.l.X-TXN : Update your biIIing to continue using our services by visiting here https://go.ly/JUVBR,800|872,2
healer discover proven Property &Business Methods to grow your revenue in 2023. Starts Sat 10am! https://tx.vc/r/346Qz Optout https://tx.vc/o/8d122,801|970,2
iva ahora : https://51.fi/aJ1Bi?***2549,815|1150,2
Justine 47ans divorcee approchant la cinquantaine recherche de nouvelles experiences dans votre region Alex clique ici pour ses photos https://rdv15.com/jKckiq,816|839|874,3
Â£111m EuroMillions Super Jackpot tonight! lottogo.co/emaq Get 20 tickets for Â£1 if you register by 7pm! 18+TC Optout: https://tx.vc/o/b1a7b,821|1151,2
"AFCU We have temporarily locked your account due to an suspicious activity, To unlock, verify now: https://hm.ru/5WnL6j",853|1102,2
Adel here's how to create 3 High Cash-Flowing Properties & Scale to a Six Figure Revenue! https://tx.vc/r/2Aiak Optout https://tx.vc/o/8d122,854|985|1159,3
Probate Weekly is Starting now! https://eztxt.net/O90l7b or join at https://zoom.us/j/97054422923 https://eztxt.net/OVLZat STOP to end,857|1192,2
Last chance for Â£139m EuroMillions Rollover tonight! lottogo.co/emaq Get 20 tickets for Â£1 if you register before the draw 18+ TC Optout: https://tx.vc/o/b1a7b,873|1009,2
Haga click en https://tiny.one/3nndndv8 para visualizar o cancelar tu entrada al evento DECARNEYHUESO - EL OFICIO DEL MAR,876|1140,2
Jai un probleme avec mes voisins ils font souvent l'amour Pierre. Moi je suis toute seule. Tu veux bien m'aider? Voir son profil https://rdv0.co/agExfb,877|1105,2
Celia 49ansJe viens de divorcer et je n ai pas d'enfants Alex il est temps que je m'amuse mon mari ne me touchait plus mon profil : https://rdv15.com/WkBzpl,878|1097,2
gyhcMfUKUd The delivery information is incorrect and we cannot deliver it properly. please change. https://deliverylgc.com/VwI1,901|1198,2
"Naveed, welcome aboard. Get ready to set sail with a Welcome Offer of 100% up to ?0,000 + 20 Free Spins. Make a deposit, redeem your offer from the Cashier. https://tx.vc/r/1Julv 18+ T&Cs apply Opt-out: https://tx.vc/r/19M8R",903|980,2
(1)message Helene Je veux sentir tes levres sur les miennes Pierre! Viens tchatter avant de finir sous la couette rejoins moi ici https://rdv15.com/MDXxxz,906|960,2
"A warm welcome for you - Claim these exclusive offers. https://tx.vc/r/3kBXw/ T&Cs Apply, 18 Plus. Play Responsibly. Unsubscribe At https://tx.vc/r/3kBWr/",912|1158,2
[M&T]: Account has been suspended for new activity detection. KindIy verify your acc. here https://lihi2.cc/e0CRV,915|1136,2
HHGRYFR here's how to create 3 High Cash-Flowing Properties & Scale to a Six Figure Revenue! https://tx.vc/r/2Aiak Optout https://tx.vc/o/8d122,917|1160,2
"A warm welcome for you - Claim these exclusive offers. https://tx.vc/r/3kBXk/ T&Cs Apply, 18 Plus. Play Responsibly. Unsubscribe At https://tx.vc/r/3kBWr/",930|1109|1154,3
Â£170m EuroMillions Rollover has landed! lottogo.co/emaq Register by 7pm to get 20 tickets for just Â£1! 18+TC Optout: https://tx.vc/o/b1a7b,938|1036,2
ASSURANCE MALADIE : Votre nouvelle carte vitale est disponible. Remplissez ce formulaire afin de rester couvert : https://ameli-commande.info/,944|1101,2
Haga click en https://tiny.one/2p8bd9j6 para visualizar o cancelar tu entrada al evento B VOCAL - VOCALOCURAS,945|1070,2
[N.E.T.F.L.l.X] : Update your biIIing to continue using our services by visiting here https://go.ly/JUVBR,949|973,2
elish ahian discover proven Property &Business Methods to grow your revenue in 2022. Starts Sat 10am! https://tx.vc/r/346Qz Optout https://tx.vc/o/8d122,969|983,2
"Hi Emilly tonight 7pm, discover my Bulletproof System to boost your revenue faster in 2022! https://tx.vc/r/3axdT Optout https://tx.vc/o/8d122",975|1044,2
Sports betting with a fantastic offer: a 100% up to Â£20 Free Bet! https://tx.vc/r/35fH6 18+ T&Cs apply. Unsubscribe? https://tx.vc/r/2Aurl,1004|1157,2
JOE RAPHAL here's how to create 3 High Cash-Flowing Properties & Scale to a Six Figure Revenue! tx.vc/r/2Aiak Optout https://tx.vc/o/8d122,1014|1145,2
"Hundreds of Free Spins are waiting... Check it out here > https://tx.vc/r/3y4I2/ T&Cs Apply, 18 Plus. Play Responsibly. Unsubscribe https://tx.vc/r/",1027|1051,2
"Enjoy our November special, 400% UP TO ?000 + 100 FS , TRY NOW https://tx.vc/r/3t7A6/1L8mwH/7SpBXGk Optout: https://tx.vc/o/b5618",1039|1058,2
test https://drpsnd.io/bTYiS6 Reply STOP to stop,1061|1062,2
We are waiting for you with 400% up to Â£2000 + 100 FS - Grab it NOW https://tx.vc/r/3yaih/1MSvzh/7Sw9W3W Optout: https://tx.vc/o/b5618,1100|1137,2
pple.com/us/app/ring4/id594763296Android: https://play.google.com/store/apps/details?id=com.ring4.app,1108|1124,2
Emilie 42ans a rompu il y a 2 mois vous l'avez croise cette semaine Pierre Elle est dispo vous avez (1)message d'elle a lire ici https://rdv15.com/du2RsS,1120|1201,2
"Thank you for registering with Breathefree Digital Educator. This program will help you learn the correct inhaler device technique. You can now connect with Breathefree Digital Educator instantly by clicking on the link below. If you are unable to connect, please try again after 15 mins. Breathefree Digital Educator is available from Monday to Friday between 10 am to 7 pm and on Saturday between 10 am to 5 pm. CLICK TO CONNECT NOW and TnC, Lybrate http://lybr.at/6da5ffbf1",1125|1187,2
